gm102b,gm302b,gm502b,gm702b,time(sec)
3.82,3.76,3.74,2.21,176
3.82,3.76,3.74,2.21,177
3.81,3.76,3.74,2.2,178
3.81,3.75,3.74,2.2,179
3.8,3.75,3.74,2.19,180
3.81,3.76,3.74,2.2,181
3.81,3.76,3.74,2.21,182
3.81,3.76,3.74,2.21,183
3.82,3.76,3.75,2.21,184
3.82,3.76,3.75,2.21,185
3.82,3.77,3.75,2.22,186
3.82,3.76,3.76,2.21,187
3.8,3.76,3.76,2.2,188
3.8,3.76,3.76,2.19,189
3.81,3.76,3.75,2.19,190
3.82,3.77,3.75,2.2,191
3.82,3.77,3.76,2.22,192
3.83,3.77,3.76,2.22,193
3.82,3.77,3.76,2.2,194
3.81,3.76,3.76,2.18,195
3.81,3.77,3.75,2.17,196
3.82,3.77,3.75,2.19,197
3.83,3.78,3.75,2.21,198
3.82,3.77,3.75,2.2,199
3.8,3.76,3.75,2.18,200
3.79,3.75,3.75,2.16,201
3.78,3.75,3.74,2.15,202
3.79,3.75,3.74,2.15,203
3.8,3.76,3.74,2.17,204
3.81,3.76,3.74,2.2,205
3.82,3.77,3.75,2.21,206
3.82,3.77,3.76,2.22,207
3.83,3.78,3.76,2.22,208
3.83,3.77,3.76,2.2,209
3.82,3.77,3.76,2.19,210
3.82,3.77,3.76,2.19,211
3.81,3.77,3.76,2.19,212
3.81,3.77,3.76,2.19,213
3.82,3.78,3.76,2.19,214
3.83,3.78,3.75,2.2,215
3.82,3.78,3.76,2.19,216
3.83,3.78,3.75,2.2,217
3.84,3.79,3.76,2.21,218
3.84,3.79,3.76,2.21,219
3.83,3.79,3.76,2.2,220
3.84,3.79,3.76,2.21,221
3.84,3.79,3.77,2.21,222
3.84,3.79,3.76,2.21,223
3.82,3.78,3.76,2.19,224
3.82,3.78,3.76,2.19,225
3.82,3.79,3.76,2.19,226
3.84,3.79,3.77,2.21,227
3.84,3.79,3.77,2.22,228
3.84,3.8,3.77,2.23,229
3.85,3.8,3.78,2.25,230
3.86,3.81,3.78,2.25,231
3.86,3.81,3.79,2.25,232
3.86,3.81,3.79,2.25,233
3.86,3.81,3.8,2.24,234
3.85,3.8,3.79,2.22,235
3.85,3.8,3.79,2.22,236
3.84,3.8,3.79,2.23,237
3.85,3.8,3.78,2.24,238
3.85,3.81,3.79,2.24,239
3.86,3.81,3.79,2.25,240
3.86,3.81,3.79,2.25,241
3.86,3.81,3.8,2.24,242
3.85,3.81,3.8,2.24,243
3.85,3.8,3.8,2.23,244
3.84,3.8,3.79,2.22,245
3.84,3.8,3.79,2.21,246
3.84,3.8,3.78,2.21,247
3.85,3.81,3.79,2.23,248
3.86,3.81,3.79,2.25,249
3.85,3.81,3.79,2.25,250
3.85,3.81,3.79,2.23,251
3.85,3.81,3.79,2.23,252
3.86,3.81,3.79,2.24,253
3.86,3.81,3.8,2.24,254
3.86,3.81,3.8,2.25,255
3.87,3.82,3.81,2.26,256
3.87,3.82,3.81,2.24,257
3.86,3.81,3.8,2.23,258
3.85,3.81,3.8,2.21,259
3.84,3.8,3.79,2.2,260
3.85,3.81,3.79,2.21,261
3.86,3.81,3.79,2.22,262
3.87,3.82,3.79,2.23,263
3.87,3.82,3.79,2.24,264
3.87,3.82,3.8,2.25,265
3.88,3.82,3.8,2.26,266
3.88,3.82,3.8,2.25,267
3.88,3.83,3.81,2.25,268
3.88,3.82,3.81,2.24,269
3.87,3.83,3.81,2.23,270
3.86,3.82,3.8,2.22,271
3.85,3.81,3.79,2.21,272
3.84,3.81,3.79,2.2,273
3.85,3.82,3.78,2.21,274
3.86,3.81,3.79,2.22,275
3.85,3.81,3.79,2.22,276
3.84,3.81,3.8,2.21,277
3.84,3.8,3.79,2.2,278
3.83,3.8,3.78,2.18,279
3.84,3.8,3.78,2.18,280
3.85,3.8,3.78,2.19,281
3.86,3.81,3.78,2.2,282
3.87,3.82,3.78,2.22,283
3.87,3.82,3.78,2.24,284
3.87,3.82,3.79,2.24,285
3.87,3.83,3.8,2.25,286
3.89,3.83,3.81,2.27,287
3.88,3.83,3.81,2.25,288
3.87,3.83,3.8,2.23,289
3.86,3.82,3.81,2.21,290
3.85,3.82,3.8,2.2,291
3.85,3.82,3.79,2.19,292
3.86,3.82,3.79,2.19,293
3.86,3.82,3.79,2.2,294
3.86,3.83,3.78,2.22,295
3.87,3.82,3.79,2.22,296
3.86,3.82,3.79,2.21,297
3.86,3.82,3.79,2.21,298
3.86,3.82,3.79,2.2,299
3.87,3.82,3.79,2.22,300
3.88,3.83,3.79,2.25,301
3.87,3.83,3.8,2.26,302
3.87,3.82,3.81,2.25,303
3.86,3.82,3.81,2.24,304
3.85,3.81,3.81,2.23,305
3.85,3.81,3.8,2.21,306
3.85,3.81,3.8,2.21,307
3.85,3.81,3.8,2.2,308
3.84,3.81,3.79,2.2,309
3.85,3.81,3.79,2.2,310
3.86,3.81,3.79,2.2,311
3.86,3.82,3.79,2.2,312
3.87,3.82,3.79,2.22,313
3.86,3.82,3.79,2.21,314
3.85,3.81,3.79,2.2,315
3.85,3.81,3.79,2.2,316
3.86,3.81,3.79,2.21,317
3.86,3.81,3.79,2.21,318
3.86,3.82,3.79,2.21,319
3.87,3.82,3.8,2.22,320
3.86,3.82,3.8,2.21,321
3.86,3.82,3.79,2.21,322
3.87,3.82,3.8,2.22,323
3.87,3.83,3.8,2.23,324
3.88,3.83,3.8,2.23,325
3.87,3.83,3.8,2.24,326
3.88,3.83,3.81,2.25,327
3.88,3.83,3.81,2.24,328
3.87,3.83,3.81,2.23,329
3.86,3.83,3.81,2.23,330
3.87,3.83,3.81,2.22,331
3.86,3.82,3.81,2.23,332
3.86,3.82,3.81,2.23,333
3.86,3.82,3.81,2.22,334
3.87,3.83,3.81,2.22,335
3.88,3.83,3.81,2.23,336
3.88,3.83,3.8,2.23,337
3.88,3.84,3.81,2.24,338
3.88,3.84,3.81,2.24,339
3.88,3.83,3.81,2.24,340
3.88,3.83,3.81,2.24,341
3.87,3.83,3.82,2.24,342
3.87,3.83,3.81,2.23,343
3.86,3.83,3.81,2.22,344
3.87,3.83,3.81,2.22,345
3.88,3.83,3.81,2.23,346
3.88,3.84,3.81,2.24,347
3.88,3.84,3.82,2.25,348
3.89,3.83,3.82,2.25,349
3.88,3.84,3.82,2.25,350
3.87,3.83,3.82,2.24,351
3.87,3.83,3.82,2.22,352
3.86,3.83,3.81,2.22,353
3.86,3.83,3.81,2.21,354
3.87,3.83,3.81,2.21,355
3.87,3.83,3.8,2.22,356
3.87,3.83,3.81,2.22,357
3.86,3.83,3.8,2.22,358
3.87,3.83,3.8,2.21,359
3.87,3.83,3.8,2.22,360
3.87,3.83,3.8,2.22,361
3.87,3.83,3.8,2.22,362
3.87,3.83,3.8,2.21,363
3.87,3.83,3.8,2.22,364
3.87,3.83,3.81,2.22,365
3.86,3.83,3.8,2.21,366
3.87,3.82,3.8,2.22,367
3.87,3.83,3.8,2.22,368
3.87,3.83,3.8,2.22,369
3.88,3.83,3.81,2.23,370
3.89,3.84,3.81,2.23,371
3.88,3.83,3.81,2.23,372
3.87,3.84,3.81,2.23,373
3.87,3.83,3.81,2.22,374
3.87,3.83,3.81,2.22,375
3.87,3.83,3.81,2.22,376
3.88,3.83,3.81,2.23,377
3.88,3.83,3.81,2.23,378
3.87,3.83,3.81,2.22,379
3.88,3.84,3.81,2.23,380
3.88,3.84,3.81,2.23,381
3.89,3.84,3.81,2.24,382
3.9,3.85,3.82,2.26,383
3.9,3.85,3.83,2.27,384
3.89,3.85,3.83,2.25,385
3.88,3.84,3.83,2.24,386
3.88,3.85,3.82,2.24,387
3.88,3.85,3.82,2.24,388
3.89,3.84,3.83,2.23,389
3.88,3.84,3.82,2.23,390
3.88,3.84,3.82,2.22,391
3.87,3.84,3.82,2.21,392
3.88,3.84,3.81,2.21,393
3.88,3.84,3.81,2.21,394
3.88,3.84,3.81,2.22,395
3.89,3.85,3.81,2.24,396
3.89,3.84,3.82,2.24,397
3.89,3.84,3.82,2.23,398
3.88,3.84,3.81,2.22,399
3.88,3.84,3.81,2.22,400
3.88,3.84,3.81,2.21,401
3.87,3.84,3.81,2.21,402
3.86,3.84,3.81,2.21,403
3.86,3.84,3.81,2.22,404
3.87,3.84,3.81,2.23,405
3.88,3.84,3.82,2.23,406
3.89,3.84,3.81,2.23,407
3.88,3.84,3.81,2.23,408
3.89,3.84,3.82,2.23,409
3.89,3.85,3.82,2.23,410
3.89,3.85,3.82,2.24,411
3.89,3.85,3.82,2.24,412
3.88,3.84,3.82,2.23,413
3.88,3.84,3.82,2.22,414
3.88,3.85,3.81,2.23,415
3.88,3.84,3.81,2.23,416
3.89,3.85,3.82,2.24,417
3.9,3.85,3.82,2.24,418
3.89,3.85,3.82,2.23,419
3.88,3.85,3.82,2.22,420
3.89,3.85,3.81,2.23,421
3.89,3.85,3.82,2.23,422
3.89,3.85,3.82,2.24,423
3.89,3.85,3.82,2.25,424
3.9,3.85,3.82,2.24,425
3.88,3.85,3.82,2.23,426
3.88,3.84,3.82,2.23,427
3.88,3.84,3.82,2.22,428
