gm102b,gm302b,gm502b,gm702b,time(sec)
1.91,1.75,1.76,3.75,176
1.9,1.74,1.76,3.76,177
1.9,1.74,1.76,3.76,178
1.91,1.75,1.76,3.75,179
1.9,1.75,1.76,3.76,180
1.91,1.75,1.76,3.75,181
1.9,1.75,1.76,3.75,182
1.9,1.75,1.77,3.75,183
1.9,1.75,1.77,3.75,184
1.9,1.76,1.77,3.75,185
1.9,1.76,1.77,3.74,186
1.9,1.76,1.78,3.75,187
1.9,1.76,1.77,3.74,188
1.91,1.76,1.78,3.75,189
1.9,1.76,1.78,3.75,190
1.91,1.76,1.78,3.74,191
1.9,1.77,1.79,3.74,192
1.9,1.77,1.79,3.74,193
1.9,1.77,1.79,3.74,194
1.9,1.77,1.79,3.74,195
1.9,1.78,1.8,3.75,196
1.91,1.78,1.8,3.75,197
1.91,1.78,1.8,3.75,198
1.91,1.78,1.8,3.75,199
1.91,1.78,1.8,3.76,200
1.91,1.78,1.81,3.75,201
1.91,1.79,1.81,3.76,202
1.91,1.79,1.81,3.76,203
1.91,1.79,1.81,3.75,204
1.91,1.79,1.82,3.75,205
1.91,1.79,1.82,3.75,206
1.91,1.79,1.82,3.75,207
1.91,1.79,1.82,3.75,208
1.91,1.79,1.83,3.75,209
1.91,1.79,1.82,3.75,210
1.92,1.79,1.83,3.75,211
1.91,1.79,1.83,3.75,212
1.92,1.79,1.83,3.74,213
1.92,1.8,1.84,3.75,214
1.92,1.8,1.84,3.75,215
1.92,1.8,1.84,3.75,216
1.92,1.81,1.84,3.75,217
1.92,1.8,1.84,3.76,218
1.92,1.8,1.85,3.75,219
1.92,1.81,1.85,3.75,220
1.92,1.81,1.85,3.75,221
1.92,1.81,1.85,3.75,222
1.92,1.81,1.85,3.75,223
1.92,1.81,1.85,3.75,224
1.92,1.81,1.85,3.74,225
1.92,1.81,1.85,3.75,226
1.92,1.81,1.85,3.75,227
1.92,1.81,1.85,3.74,228
1.91,1.81,1.86,3.74,229
1.91,1.81,1.85,3.74,230
1.91,1.81,1.86,3.73,231
1.91,1.81,1.86,3.73,232
1.91,1.81,1.85,3.72,233
1.9,1.81,1.85,3.71,234
1.9,1.8,1.85,3.7,235
1.89,1.81,1.85,3.7,236
1.89,1.8,1.85,3.7,237
1.89,1.8,1.85,3.69,238
1.88,1.8,1.85,3.69,239
1.88,1.8,1.85,3.68,240
1.88,1.8,1.84,3.67,241
1.87,1.8,1.85,3.67,242
1.87,1.8,1.84,3.66,243
1.87,1.8,1.84,3.66,244
1.86,1.81,1.84,3.67,245
1.87,1.81,1.85,3.66,246
1.86,1.81,1.85,3.66,247
1.86,1.81,1.85,3.66,248
1.86,1.81,1.85,3.67,249
1.86,1.81,1.84,3.67,250
1.86,1.81,1.85,3.66,251
1.86,1.81,1.85,3.66,252
1.86,1.82,1.85,3.67,253
1.86,1.82,1.85,3.67,254
1.86,1.82,1.85,3.67,255
1.86,1.82,1.85,3.68,256
1.87,1.83,1.86,3.68,257
1.87,1.83,1.86,3.69,258
1.87,1.83,1.85,3.68,259
1.86,1.83,1.86,3.67,260
1.86,1.82,1.85,3.68,261
1.86,1.82,1.85,3.67,262
1.86,1.82,1.85,3.67,263
1.86,1.82,1.85,3.66,264
1.85,1.82,1.85,3.66,265
1.85,1.81,1.85,3.66,266
1.85,1.81,1.85,3.65,267
1.85,1.81,1.85,3.65,268
1.84,1.81,1.85,3.64,269
1.84,1.81,1.85,3.64,270
1.84,1.81,1.85,3.64,271
1.84,1.81,1.85,3.63,272
1.84,1.81,1.85,3.63,273
1.83,1.81,1.85,3.62,274
1.83,1.81,1.85,3.63,275
1.83,1.81,1.85,3.62,276
1.83,1.81,1.85,3.61,277
1.83,1.81,1.85,3.61,278
1.83,1.81,1.85,3.61,279
1.83,1.81,1.85,3.62,280
1.83,1.82,1.85,3.62,281
1.83,1.82,1.86,3.62,282
1.84,1.83,1.86,3.63,283
1.84,1.83,1.86,3.64,284
1.84,1.83,1.86,3.65,285
1.85,1.83,1.86,3.65,286
1.85,1.83,1.87,3.65,287
1.86,1.84,1.87,3.65,288
1.85,1.83,1.87,3.65,289
1.86,1.83,1.87,3.65,290
1.86,1.83,1.87,3.66,291
1.86,1.83,1.87,3.65,292
1.86,1.83,1.87,3.65,293
1.85,1.83,1.87,3.65,294
1.85,1.83,1.87,3.64,295
1.85,1.83,1.87,3.64,296
1.85,1.83,1.86,3.64,297
1.85,1.83,1.86,3.63,298
1.84,1.83,1.86,3.63,299
1.84,1.83,1.86,3.63,300
1.84,1.82,1.86,3.62,301
1.84,1.83,1.86,3.62,302
1.84,1.82,1.86,3.61,303
1.83,1.82,1.86,3.61,304
1.84,1.82,1.86,3.6,305
1.83,1.82,1.86,3.6,306
1.83,1.82,1.86,3.59,307
1.83,1.82,1.86,3.6,308
1.83,1.83,1.86,3.6,309
1.83,1.83,1.86,3.6,310
1.83,1.83,1.86,3.59,311
1.83,1.83,1.87,3.59,312
1.83,1.83,1.86,3.59,313
1.83,1.82,1.86,3.59,314
1.83,1.82,1.86,3.58,315
1.83,1.83,1.86,3.58,316
1.83,1.83,1.87,3.58,317
1.83,1.83,1.86,3.58,318
1.83,1.83,1.86,3.58,319
1.82,1.83,1.86,3.57,320
1.82,1.83,1.86,3.58,321
1.82,1.83,1.86,3.58,322
1.82,1.83,1.86,3.58,323
1.82,1.83,1.86,3.58,324
1.82,1.83,1.86,3.57,325
1.82,1.83,1.87,3.57,326
1.82,1.83,1.86,3.57,327
1.82,1.83,1.86,3.57,328
1.82,1.83,1.86,3.58,329
1.82,1.83,1.86,3.57,330
1.82,1.83,1.86,3.57,331
1.82,1.82,1.86,3.57,332
1.82,1.82,1.86,3.56,333
1.81,1.82,1.86,3.56,334
