gm102b,gm302b,gm502b,gm702b,time(sec)
3.07,2.8,2.9,2.72,176
3.06,2.8,2.91,2.72,177
3.05,2.8,2.91,2.7,178
3.04,2.8,2.91,2.7,179
3.04,2.8,2.91,2.69,180
3.04,2.8,2.91,2.68,181
3.04,2.8,2.9,2.68,182
3.04,2.8,2.9,2.69,183
3.04,2.8,2.91,2.68,184
3.04,2.81,2.9,2.68,185
3.04,2.81,2.91,2.68,186
3.04,2.81,2.91,2.67,187
3.05,2.81,2.91,2.68,188
3.05,2.82,2.91,2.68,189
3.06,2.82,2.91,2.68,190
3.06,2.83,2.91,2.7,191
3.07,2.82,2.91,2.7,192
3.07,2.82,2.92,2.7,193
3.06,2.82,2.92,2.7,194
3.05,2.82,2.92,2.7,195
3.04,2.82,2.91,2.69,196
3.04,2.82,2.91,2.68,197
3.03,2.82,2.91,2.68,198
3.03,2.82,2.91,2.68,199
3.03,2.82,2.91,2.68,200
3.03,2.82,2.91,2.67,201
3.03,2.82,2.91,2.67,202
3.03,2.82,2.91,2.66,203
3.03,2.82,2.91,2.67,204
3.03,2.83,2.91,2.67,205
3.04,2.84,2.91,2.69,206
3.05,2.84,2.92,2.69,207
3.06,2.84,2.92,2.7,208
3.06,2.84,2.92,2.7,209
3.06,2.84,2.92,2.7,210
3.05,2.83,2.92,2.7,211
3.05,2.84,2.92,2.69,212
3.05,2.84,2.92,2.69,213
3.04,2.84,2.92,2.68,214
3.05,2.85,2.93,2.69,215
3.06,2.85,2.93,2.7,216
3.07,2.86,2.93,2.71,217
3.07,2.86,2.93,2.7,218
3.07,2.86,2.93,2.71,219
3.08,2.86,2.93,2.71,220
3.07,2.87,2.93,2.71,221
3.07,2.87,2.94,2.72,222
3.08,2.86,2.94,2.72,223
3.07,2.86,2.94,2.72,224
3.06,2.86,2.94,2.72,225
3.05,2.86,2.95,2.72,226
3.05,2.86,2.94,2.71,227
3.04,2.86,2.94,2.71,228
3.04,2.85,2.94,2.7,229
3.04,2.85,2.94,2.69,230
3.03,2.85,2.94,2.68,231
3.02,2.85,2.93,2.67,232
3.02,2.85,2.94,2.67,233
3.03,2.85,2.94,2.67,234
3.03,2.85,2.94,2.67,235
3.04,2.85,2.94,2.67,236
3.04,2.86,2.93,2.68,237
3.04,2.87,2.94,2.7,238
3.07,2.88,2.94,2.71,239
3.09,2.89,2.95,2.73,240
3.1,2.89,2.95,2.74,241
3.11,2.9,2.96,2.74,242
3.1,2.89,2.96,2.74,243
3.09,2.89,2.96,2.73,244
3.08,2.9,2.96,2.72,245
3.08,2.9,2.96,2.72,246
3.08,2.9,2.96,2.72,247
3.07,2.89,2.96,2.72,248
3.07,2.89,2.96,2.72,249
3.06,2.89,2.96,2.71,250
3.06,2.89,2.96,2.71,251
3.05,2.89,2.96,2.71,252
3.05,2.89,2.96,2.72,253
3.05,2.88,2.96,2.72,254
3.05,2.88,2.96,2.71,255
3.04,2.88,2.96,2.71,256
3.04,2.88,2.96,2.7,257
3.04,2.88,2.96,2.7,258
3.04,2.88,2.96,2.7,259
3.04,2.88,2.96,2.7,260
3.04,2.88,2.96,2.7,261
3.04,2.88,2.96,2.7,262
3.05,2.88,2.96,2.71,263
3.04,2.89,2.96,2.71,264
3.05,2.89,2.96,2.71,265
3.06,2.9,2.96,2.72,266
3.07,2.89,2.96,2.72,267
3.06,2.89,2.96,2.71,268
3.06,2.89,2.96,2.72,269
3.06,2.9,2.96,2.72,270
3.07,2.9,2.97,2.73,271
3.08,2.91,2.97,2.74,272
3.09,2.92,2.97,2.74,273
3.1,2.91,2.97,2.73,274
3.09,2.91,2.97,2.72,275
3.08,2.91,2.97,2.72,276
3.07,2.9,2.97,2.7,277
3.06,2.9,2.97,2.7,278
3.05,2.9,2.97,2.7,279
3.05,2.9,2.96,2.69,280
3.05,2.9,2.96,2.7,281
3.05,2.9,2.96,2.69,282
3.05,2.9,2.96,2.7,283
3.06,2.91,2.96,2.7,284
3.06,2.91,2.96,2.71,285
3.07,2.92,2.96,2.71,286
3.08,2.92,2.96,2.71,287
3.08,2.92,2.96,2.72,288
3.08,2.92,2.97,2.72,289
3.08,2.92,2.97,2.72,290
3.08,2.92,2.97,2.72,291
3.07,2.92,2.97,2.71,292
3.07,2.92,2.97,2.72,293
3.07,2.92,2.97,2.72,294
3.07,2.92,2.97,2.72,295
3.07,2.92,2.97,2.72,296
3.06,2.92,2.97,2.71,297
3.06,2.92,2.97,2.71,298
3.06,2.92,2.97,2.73,299
3.06,2.93,2.97,2.73,300
3.07,2.93,2.98,2.74,301
3.08,2.94,2.98,2.74,302
3.09,2.94,2.98,2.74,303
3.1,2.95,2.98,2.74,304
3.11,2.95,2.99,2.75,305
3.11,2.95,2.99,2.74,306
3.12,2.95,2.99,2.75,307
3.12,2.96,2.99,2.75,308
3.12,2.96,2.99,2.75,309
3.12,2.96,2.99,2.75,310
3.11,2.96,2.99,2.74,311
3.11,2.96,2.99,2.75,312
3.1,2.96,2.99,2.75,313
3.1,2.96,2.99,2.74,314
3.1,2.96,3,2.74,315
3.1,2.96,3,2.74,316
3.1,2.96,3,2.73,317
3.09,2.95,2.99,2.72,318
3.09,2.95,2.99,2.72,319
3.08,2.95,2.99,2.72,320
3.08,2.95,2.99,2.72,321
3.08,2.95,2.99,2.72,322
3.07,2.95,2.99,2.71,323
3.07,2.95,2.99,2.72,324
3.07,2.95,2.99,2.71,325
3.07,2.95,2.99,2.71,326
3.07,2.95,2.99,2.71,327
3.06,2.95,2.99,2.71,328
3.06,2.94,2.99,2.7,329
3.06,2.94,2.99,2.7,330
3.06,2.94,2.98,2.69,331
3.05,2.94,2.98,2.69,332
3.05,2.94,2.99,2.69,333
3.04,2.93,2.98,2.68,334
3.04,2.93,2.98,2.68,335
3.04,2.93,2.98,2.68,336
3.04,2.93,2.98,2.67,337
3.04,2.93,2.98,2.66,338
3.04,2.93,2.97,2.67,339
3.04,2.94,2.97,2.67,340
3.06,2.94,2.98,2.69,341
3.06,2.94,2.98,2.69,342
3.05,2.94,2.98,2.69,343
3.05,2.94,2.98,2.69,344
3.05,2.94,2.97,2.69,345
3.06,2.95,2.98,2.7,346
3.07,2.95,2.98,2.69,347
3.07,2.95,2.98,2.69,348
3.07,2.95,2.98,2.69,349
3.07,2.95,2.98,2.69,350
3.06,2.95,2.98,2.69,351
3.06,2.95,2.98,2.69,352
3.07,2.95,2.98,2.7,353
3.07,2.95,2.98,2.7,354
3.07,2.95,2.98,2.7,355
3.06,2.95,2.98,2.7,356
3.08,2.96,2.98,2.71,357
3.09,2.96,2.98,2.71,358
3.09,2.96,2.98,2.71,359
3.08,2.96,2.98,2.7,360
3.08,2.96,2.98,2.69,361
3.08,2.96,2.98,2.69,362
3.08,2.96,2.98,2.69,363
3.08,2.96,2.98,2.69,364
3.08,2.96,2.98,2.7,365
3.07,2.96,2.98,2.7,366
3.07,2.96,2.98,2.7,367
3.07,2.95,2.98,2.71,368
3.07,2.96,2.98,2.71,369
3.07,2.96,2.99,2.72,370
3.07,2.96,2.99,2.72,371
3.08,2.96,2.98,2.71,372
3.07,2.96,2.99,2.71,373
3.08,2.96,2.99,2.71,374
3.08,2.96,2.99,2.71,375
3.08,2.96,2.99,2.72,376
3.07,2.96,2.99,2.72,377
3.07,2.96,2.99,2.73,378
3.07,2.96,2.99,2.72,379
3.07,2.96,2.99,2.72,380
3.07,2.96,2.99,2.72,381
3.07,2.97,2.99,2.73,382
3.08,2.97,3,2.73,383
3.09,2.97,3,2.74,384
3.08,2.97,3,2.74,385
3.08,2.97,3,2.73,386
3.07,2.97,3,2.72,387
3.07,2.97,3,2.73,388
3.07,2.97,3,2.72,389
3.08,2.97,3,2.72,390
3.07,2.97,3,2.72,391
3.07,2.96,3,2.72,392
3.06,2.96,3,2.72,393
3.06,2.96,3,2.71,394
3.05,2.96,3,2.7,395
3.05,2.96,3,2.7,396
3.05,2.96,3,2.7,397
3.05,2.96,2.99,2.69,398
3.05,2.96,2.99,2.69,399
3.05,2.96,2.99,2.69,400
3.05,2.96,2.99,2.69,401
3.05,2.96,2.99,2.69,402
3.06,2.97,3,2.7,403
3.06,2.97,2.99,2.7,404
3.07,2.97,2.99,2.7,405
3.07,2.97,2.99,2.71,406
3.07,2.97,2.99,2.7,407
3.07,2.97,2.99,2.7,408
3.07,2.97,2.99,2.7,409
3.07,2.97,2.99,2.7,410
3.07,2.97,2.99,2.7,411
3.07,2.97,2.99,2.7,412
3.06,2.97,3,2.7,413
3.06,2.97,2.99,2.7,414
3.07,2.97,2.99,2.7,415
3.07,2.97,2.99,2.71,416
3.07,2.97,2.99,2.71,417
3.06,2.97,2.99,2.7,418
3.06,2.97,3,2.71,419
3.06,2.97,2.99,2.7,420
3.05,2.97,2.99,2.7,421
3.05,2.96,2.99,2.71,422
3.05,2.97,2.99,2.71,423
3.06,2.97,2.99,2.71,424
3.07,2.97,3,2.72,425
3.07,2.97,3,2.72,426
3.07,2.98,2.99,2.72,427
3.07,2.97,3,2.71,428
3.07,2.98,3,2.71,429
3.07,2.97,3,2.71,430
3.07,2.98,3,2.71,431
3.08,2.98,3,2.71,432
3.09,2.99,3,2.72,433
3.09,2.99,3,2.72,434
3.09,2.98,3,2.72,435
3.09,2.98,3,2.73,436
3.08,2.98,3,2.73,437
3.08,2.99,3,2.73,438
3.08,2.99,3.01,2.73,439
3.08,2.99,3.01,2.73,440
3.08,2.99,3.01,2.73,441
3.09,2.99,3.01,2.73,442
3.09,2.99,3.01,2.73,443
3.09,2.99,3.01,2.74,444
3.08,2.99,3.01,2.73,445
3.08,2.99,3.01,2.73,446
3.08,3,3.01,2.74,447
3.09,3,3.01,2.74,448
3.1,3,3.01,2.75,449
3.1,3,3.01,2.75,450
3.1,3,3.02,2.75,451
3.1,3,3.02,2.74,452
3.1,3,3.02,2.75,453
3.09,3,3.02,2.75,454
3.09,3,3.02,2.75,455
3.09,3,3.02,2.74,456
3.08,3,3.02,2.74,457
3.08,3,3.02,2.74,458
3.08,3,3.02,2.75,459
3.1,3,3.02,2.75,460
3.1,3,3.03,2.75,461
3.1,3,3.02,2.75,462
3.09,3,3.02,2.73,463
3.08,3,3.02,2.72,464
3.07,2.99,3.02,2.72,465
3.07,3,3.02,2.71,466
3.07,3,3.01,2.72,467
3.07,3,3.01,2.72,468
3.07,3,3.02,2.72,469
3.07,3,3.02,2.73,470
3.08,3,3.01,2.73,471
3.08,3,3.01,2.72,472
3.08,3,3.01,2.73,473
3.08,3,3.02,2.73,474
3.08,3,3.02,2.72,475
3.08,3,3.01,2.73,476
3.09,3.01,3.02,2.74,477
3.1,3.01,3.02,2.74,478
3.1,3.01,3.02,2.74,479
3.09,3.01,3.01,2.74,480
3.09,3.01,3.02,2.75,481
3.1,3.01,3.02,2.75,482
3.1,3.01,3.02,2.75,483
3.09,3,3.02,2.75,484
3.09,3.01,3.02,2.75,485
3.09,3.01,3.02,2.75,486
3.09,3,3.02,2.75,487
3.09,3,3.02,2.74,488
3.09,3.01,3.02,2.75,489
3.1,3.01,3.02,2.75,490
3.1,3.02,3.03,2.75,491
3.11,3.01,3.03,2.76,492
3.11,3.01,3.03,2.75,493
3.1,3.01,3.03,2.75,494
3.1,3.01,3.02,2.75,495
3.09,3.01,3.02,2.75,496
3.09,3.01,3.02,2.75,497
3.09,3.01,3.02,2.74,498
3.09,3.01,3.03,2.75,499
3.1,3.01,3.03,2.74,500
3.1,3.01,3.03,2.74,501
3.09,3.01,3.02,2.74,502
3.09,3.02,3.03,2.75,503
3.11,3.02,3.03,2.76,504
3.12,3.03,3.03,2.76,505
3.12,3.03,3.03,2.76,506
3.12,3.03,3.03,2.75,507
3.13,3.03,3.03,2.76,508
3.13,3.04,3.03,2.76,509
3.13,3.04,3.03,2.76,510
3.13,3.03,3.03,2.75,511
3.13,3.04,3.03,2.75,512
3.13,3.04,3.04,2.75,513
3.14,3.04,3.04,2.75,514
3.14,3.04,3.04,2.76,515
3.15,3.05,3.04,2.76,516
3.15,3.04,3.04,2.77,517
3.14,3.04,3.04,2.77,518
3.13,3.04,3.04,2.76,519
3.12,3.04,3.04,2.76,520
3.11,3.04,3.04,2.76,521
3.11,3.04,3.04,2.76,522
3.11,3.03,3.04,2.75,523
3.1,3.03,3.04,2.74,524
3.09,3.02,3.03,2.73,525
3.08,3.02,3.03,2.72,526
3.08,3.02,3.03,2.71,527
3.07,3.02,3.03,2.71,528
3.08,3.02,3.03,2.71,529
3.07,3.02,3.03,2.71,530
3.07,3.02,3.03,2.7,531
3.07,3.01,3.03,2.71,532
3.07,3.01,3.02,2.7,533
3.08,3.01,3.02,2.7,534
3.08,3.02,3.02,2.7,535
3.08,3.02,3.02,2.71,536
3.08,3.01,3.02,2.7,537
3.08,3.01,3.02,2.7,538
3.08,3.01,3.02,2.7,539
3.08,3.01,3.02,2.7,540
3.07,3.01,3.02,2.71,541
3.08,3.01,3.02,2.71,542
3.08,3.01,3.02,2.71,543
3.08,3.01,3.01,2.71,544
3.08,3.01,3.02,2.71,545
3.08,3.02,3.02,2.71,546
3.09,3.02,3.02,2.73,547
3.11,3.02,3.02,2.72,548
3.11,3.02,3.02,2.72,549
3.11,3.02,3.02,2.71,550
3.1,3.02,3.02,2.7,551
3.09,3.02,3.02,2.69,552
3.09,3.02,3.01,2.69,553
3.09,3.02,3.01,2.68,554
3.1,3.02,3.01,2.69,555
3.1,3.02,3.01,2.7,556
3.09,3.02,3.01,2.7,557
3.09,3.02,3.01,2.71,558
3.09,3.02,3.01,2.7,559
3.09,3.02,3.01,2.71,560
3.09,3.02,3.01,2.71,561
3.09,3.02,3.01,2.71,562
3.09,3.02,3.02,2.71,563
3.09,3.02,3.01,2.71,564
3.09,3.02,3.01,2.7,565
3.08,3.02,3.02,2.7,566
3.08,3.01,3.01,2.69,567
3.08,3.02,3.01,2.69,568
3.08,3.02,3.01,2.69,569
3.08,3.02,3.01,2.69,570
3.08,3.01,3.01,2.7,571
3.08,3.01,3.01,2.7,572
3.09,3.02,3.01,2.71,573
3.08,3.01,3.01,2.7,574
3.08,3.01,3.01,2.7,575
3.08,3.01,3.01,2.71,576
3.08,3.01,3.01,2.72,577
3.09,3.02,3.01,2.72,578
3.09,3.02,3.01,2.72,579
3.09,3.01,3.01,2.72,580
3.09,3.01,3.02,2.71,581
3.09,3.01,3.02,2.71,582
3.09,3.01,3.01,2.71,583
3.08,3.01,3.01,2.71,584
3.08,3.01,3.01,2.7,585
3.08,3.01,3.01,2.7,586
3.08,3.01,3.01,2.7,587
3.08,3.01,3.01,2.7,588
3.09,3.02,3.01,2.71,589
3.1,3.02,3.01,2.71,590
3.12,3.03,3.02,2.73,591
3.12,3.03,3.02,2.74,592
3.12,3.03,3.02,2.74,593
3.11,3.03,3.03,2.74,594
3.11,3.03,3.03,2.74,595
3.1,3.03,3.03,2.74,596
3.1,3.03,3.03,2.73,597
3.1,3.03,3.03,2.73,598
3.1,3.02,3.03,2.73,599
3.1,3.02,3.02,2.73,600
3.09,3.02,3.03,2.72,601
3.09,3.02,3.03,2.72,602
3.09,3.02,3.02,2.72,603
3.09,3.02,3.03,2.72,604
3.09,3.02,3.02,2.73,605
3.09,3.02,3.03,2.73,606
3.09,3.02,3.03,2.73,607
3.09,3.02,3.03,2.72,608
3.08,3.02,3.03,2.72,609
3.08,3.02,3.03,2.72,610
3.08,3.02,3.03,2.72,611
3.08,3.02,3.03,2.72,612
3.08,3.02,3.03,2.72,613
3.08,3.02,3.03,2.72,614
3.08,3.02,3.03,2.72,615
3.08,3.02,3.03,2.72,616
3.08,3.02,3.02,2.72,617
3.08,3.02,3.02,2.71,618
