gm102b,gm302b,gm502b,gm702b,time(sec)
2.91,2.78,2.83,1.47,176
2.91,2.78,2.83,1.47,177
2.91,2.78,2.83,1.47,178
2.91,2.79,2.83,1.47,179
2.91,2.79,2.83,1.47,180
2.92,2.79,2.84,1.47,181
2.92,2.79,2.84,1.47,182
2.92,2.8,2.84,1.47,183
2.92,2.8,2.85,1.47,184
2.92,2.8,2.85,1.47,185
2.92,2.81,2.85,1.47,186
2.93,2.81,2.85,1.47,187
2.93,2.82,2.86,1.47,188
2.93,2.82,2.86,1.47,189
2.93,2.82,2.86,1.47,190
2.94,2.83,2.87,1.47,191
2.94,2.83,2.87,1.47,192
2.94,2.83,2.87,1.47,193
2.94,2.83,2.87,1.47,194
2.94,2.83,2.88,1.47,195
2.94,2.83,2.88,1.47,196
2.94,2.84,2.88,1.47,197
2.94,2.84,2.88,1.47,198
2.95,2.84,2.89,1.47,199
2.95,2.84,2.89,1.47,200
2.95,2.85,2.89,1.47,201
2.95,2.85,2.89,1.47,202
2.95,2.85,2.89,1.47,203
2.95,2.85,2.9,1.47,204
2.95,2.86,2.9,1.47,205
2.95,2.86,2.9,1.47,206
2.95,2.86,2.9,1.47,207
2.96,2.87,2.9,1.47,208
2.96,2.87,2.91,1.47,209
2.96,2.87,2.91,1.48,210
2.96,2.87,2.91,1.47,211
2.96,2.87,2.91,1.47,212
2.97,2.88,2.91,1.47,213
2.97,2.88,2.92,1.47,214
2.97,2.89,2.92,1.47,215
2.98,2.89,2.92,1.48,216
2.98,2.89,2.92,1.48,217
2.98,2.9,2.93,1.47,218
2.98,2.9,2.93,1.48,219
2.99,2.9,2.93,1.47,220
2.99,2.91,2.93,1.47,221
2.99,2.91,2.94,1.48,222
2.99,2.91,2.94,1.47,223
2.99,2.91,2.94,1.47,224
2.99,2.92,2.94,1.47,225
3,2.92,2.94,1.48,226
2.99,2.92,2.95,1.47,227
3,2.93,2.95,1.47,228
3,2.93,2.95,1.47,229
3,2.93,2.95,1.47,230
3,2.93,2.95,1.47,231
3,2.93,2.95,1.47,232
3,2.94,2.95,1.47,233
3,2.94,2.96,1.47,234
3,2.94,2.96,1.48,235
3.01,2.95,2.96,1.47,236
3.01,2.95,2.96,1.47,237
3.01,2.95,2.96,1.48,238
3.01,2.96,2.97,1.48,239
3.02,2.96,2.97,1.47,240
3.01,2.96,2.97,1.47,241
3.02,2.96,2.97,1.47,242
3.02,2.96,2.97,1.48,243
3.02,2.97,2.98,1.47,244
3.02,2.97,2.98,1.48,245
3.03,2.97,2.98,1.47,246
3.03,2.98,2.98,1.48,247
3.03,2.98,2.98,1.48,248
3.03,2.98,2.99,1.48,249
3.03,2.98,2.99,1.48,250
3.03,2.99,2.99,1.48,251
3.03,2.99,2.99,1.48,252
3.04,2.99,2.99,1.48,253
3.04,2.99,3,1.48,254
3.04,2.99,3,1.48,255
3.04,3,3,1.48,256
3.04,3,3,1.48,257
3.04,3.01,3,1.48,258
3.04,3.01,3,1.48,259
3.04,3.01,3.01,1.48,260
3.04,3.01,3.01,1.48,261
3.04,3.01,3.01,1.48,262
3.04,3.02,3.01,1.48,263
3.04,3.02,3.01,1.48,264
3.04,3.02,3.01,1.48,265
3.04,3.02,3.01,1.48,266
3.04,3.02,3.01,1.48,267
3.05,3.02,3.02,1.48,268
3.05,3.03,3.02,1.48,269
3.05,3.02,3.02,1.48,270
3.05,3.02,3.02,1.47,271
3.05,3.03,3.02,1.48,272
3.05,3.03,3.02,1.48,273
3.05,3.03,3.02,1.48,274
3.05,3.03,3.02,1.47,275
3.05,3.03,3.03,1.48,276
3.05,3.03,3.03,1.47,277
3.05,3.03,3.02,1.48,278
3.05,3.04,3.03,1.48,279
3.05,3.04,3.03,1.48,280
3.05,3.04,3.03,1.48,281
3.06,3.04,3.03,1.48,282
3.06,3.04,3.04,1.48,283
3.06,3.04,3.04,1.48,284
3.06,3.04,3.04,1.48,285
3.07,3.04,3.04,1.48,286
3.07,3.05,3.04,1.48,287
3.08,3.05,3.04,1.48,288
3.08,3.06,3.04,1.48,289
3.08,3.06,3.04,1.48,290
3.08,3.06,3.04,1.48,291
3.08,3.06,3.05,1.48,292
3.08,3.06,3.05,1.48,293
3.09,3.07,3.06,1.48,294
3.09,3.07,3.06,1.48,295
3.09,3.07,3.06,1.48,296
3.09,3.07,3.06,1.48,297
3.09,3.08,3.06,1.48,298
3.1,3.08,3.06,1.48,299
3.1,3.08,3.06,1.48,300
3.1,3.09,3.07,1.49,301
3.1,3.09,3.07,1.48,302
3.11,3.09,3.07,1.48,303
3.11,3.1,3.07,1.49,304
3.11,3.1,3.08,1.49,305
3.12,3.1,3.07,1.48,306
3.12,3.11,3.08,1.48,307
3.12,3.11,3.08,1.48,308
3.12,3.11,3.08,1.49,309
3.12,3.11,3.08,1.49,310
3.12,3.12,3.09,1.49,311
3.12,3.12,3.09,1.49,312
3.13,3.12,3.09,1.49,313
3.13,3.12,3.09,1.49,314
3.13,3.12,3.09,1.49,315
3.13,3.13,3.09,1.49,316
3.13,3.13,3.1,1.49,317
3.13,3.13,3.1,1.49,318
3.13,3.14,3.1,1.49,319
3.13,3.14,3.1,1.49,320
3.13,3.14,3.1,1.49,321
